,trade_date,close,signals
244,20180502,10.71,0
243,20180503,10.58,0
242,20180504,10.51,0
241,20180507,10.64,0
240,20180508,10.83,0
239,20180509,10.8,0
238,20180510,10.83,0
237,20180511,10.83,0
236,20180514,11.0,0
235,20180515,10.94,0
234,20180516,10.73,0
233,20180517,10.65,0
232,20180518,10.79,0
231,20180521,10.78,0
230,20180522,10.69,0
229,20180523,10.48,0
228,20180524,10.44,0
227,20180525,10.42,0
226,20180528,10.42,0
225,20180529,10.21,0
224,20180530,9.92,0
223,20180531,10.02,0
222,20180601,10.03,0
221,20180604,10.11,1
